,SerialNo,Movie Name,Year of release,Run time,Movie Rating,Metascore,Votes,Gross collection in millions,Description,Director,Star
349,350,Kaguya-hime no Monogatari,2013,137,8.0,89.0,46759,1.51,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",Isao Takahata,"['Chloë Grace Moretz, James Caan, Mary Steenburgen, James Marsden']"
350,351,Special Chabbis,2013,144,8.0,62.28,56341,1.08,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Neeraj Pandey,"['Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Shergill']"
351,352,The Imitation Game,2014,114,8.0,71.0,762957,91.13,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",Morten Tyldum,"['Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech']"
352,353,Guardians of the Galaxy,2014,121,8.0,76.0,1165775,333.18,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,James Gunn,"['Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana']"
353,354,Song of the Sea,2014,93,8.0,85.0,58436,0.86,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",Tomm Moore,"['David Rawle, Brendan Gleeson, Lisa Hannigan, Fionnula Flanagan']"
354,355,Blade Runner 2049,2017,164,8.0,81.0,561483,92.05,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,"['Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista']"
355,356,Her,2013,126,8.0,91.0,607100,25.57,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Spike Jonze,"['Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara']"
356,357,The Revenant,2015,156,8.0,76.0,795540,183.64,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Alejandro G. Iñárritu,"['Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson']"
357,358,The Perks of Being a Wallflower,2012,103,8.0,67.0,508352,17.74,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,Stephen Chbosky,"['Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd']"
358,359,Tropa de Elite 2: O Inimigo Agora é Outro,2010,115,8.0,71.0,83260,0.1,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",José Padilha,"['Wagner Moura, Irandhir Santos, André Ramiro, Milhem Cortaz']"
359,360,The King's Speech,2010,118,8.0,88.0,678368,138.8,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",Tom Hooper,"['Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi']"
360,361,Deadpool,2016,108,8.0,65.0,1023539,363.07,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Tim Miller,"['Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein']"
361,362,Zack Snyder's Justice League,2021,242,8.0,54.0,390745,75.62454999999994,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Zack Snyder,"['Henry Cavill, Ben Affleck, Gal Gadot, Amy Adams']"
362,363,Ip Man,2008,106,8.0,59.0,223801,75.62454999999994,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",Wilson Yip,"['Donnie Yen, Simon Yam, Siu-Wong Fan, Ka-Tung Lam']"
363,364,Dune: Part One,2021,155,8.0,74.0,614916,108.33,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,Denis Villeneuve,"['Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac']"
364,365,Okuribito,2008,130,8.0,68.0,52271,1.5,A newly unemployed cellist takes a job preparing the dead for funerals.,Yôjirô Takita,"['Masahiro Motoki, Ryôko Hirosue, Tsutomu Yamazaki, Kazuko Yoshiyuki']"
365,366,CODA,2021,111,8.0,74.0,126483,75.62454999999994,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.",Sian Heder,"['Emilia Jones, Marlee Matlin, Troy Kotsur, Daniel Durant']"
366,367,Slumdog Millionaire,2008,120,8.0,84.0,841911,141.32,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".","Danny Boyle, Loveleen Tandan","['Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor']"
367,368,Black Swan,2010,108,8.0,79.0,760573,106.95,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",Darren Aronofsky,"['Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder']"
368,369,Tropa de Elite,2007,115,8.0,33.0,104255,0.01,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",José Padilha,"['Wagner Moura, André Ramiro, Caio Junqueira, Milhem Cortaz']"
369,370,The Avengers,2012,143,8.0,69.0,1379336,623.28,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,"['Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner']"
370,371,Persepolis,2007,96,8.0,90.0,94834,4.45,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,"Vincent Paronnaud, Marjane Satrapi","['Chiara Mastroianni, Catherine Deneuve, Gena Rowlands, Danielle Darrieux']"
371,372,Lage Raho Munna Bhai,2006,144,8.0,62.28,47209,2.22,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,Rajkumar Hirani,"['Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani']"
372,373,The Pursuit of Happyness,2006,117,8.0,64.0,507629,163.57,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Gabriele Muccino,"['Will Smith, Thandiwe Newton, Jaden Smith, Brian Howe']"
373,374,Blood Diamond,2006,143,8.0,64.0,546646,57.37,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",Edward Zwick,"['Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers']"
374,375,The Bourne Ultimatum,2007,115,8.0,85.0,633450,227.47,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Paul Greengrass,"['Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles']"
375,376,Dare mo shiranai,2004,141,8.0,88.0,28188,0.68,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.",Hirokazu Koreeda,"['Yûya Yagira, Ayu Kitaura, Hiei Kimura, Momoko Shimizu']"
376,377,Sin City,2005,124,8.0,74.0,767157,74.1,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.","Frank Miller, Quentin Tarantino, Robert Rodriguez","['Mickey Rourke, Clive Owen, Bruce Willis, Jessica Alba']"
377,378,Le scaphandre et le papillon,2007,112,8.0,92.0,107819,5.99,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,Julian Schnabel,"['Mathieu Amalric, Emmanuelle Seigner, Marie-Josée Croze, Anne Consigny']"
378,379,Taegukgi hwinalrimyeo,2004,140,8.0,64.0,39825,1.11,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",Je-kyu Kang,"['Jang Dong-Gun, Won Bin, Eun-ju Lee, Hyeong-jin Kong']"
379,380,G.O.R.A.,2004,127,8.0,62.28,62893,75.62454999999994,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,Ömer Faruk Sorak,"['Cem Yilmaz, Özge Özberk, Ozan Güven, Safak Sezer']"
380,381,Casino Royale,2006,144,8.0,80.0,654007,167.45,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Martin Campbell,"['Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright']"
381,382,Kill Bill: Vol. 2,2004,137,8.0,83.0,750590,66.21,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Quentin Tarantino,"['Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah']"
382,383,Bom yeoreum gaeul gyeoul geurigo bom,2003,103,8.0,85.0,83090,2.38,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,Kim Ki-duk,"['Kim Ki-duk, Oh Yeong-su, Jong-ho Kim, Kim Young-min']"
383,384,Mar adentro,2004,126,8.0,74.0,81973,2.09,"The factual story of Spaniard Ramon Sampedro, who fought a 28 year campaign in favour of euthanasia and his own right to die.",Alejandro Amenábar,"['Javier Bardem, Belén Rueda, Lola Dueñas, Mabel Rivera']"
384,385,Cinderella Man,2005,144,8.0,69.0,187961,61.65,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.",Ron Howard,"['Russell Crowe, Renée Zellweger, Craig Bierko, Paul Giamatti']"
385,386,Mou gaan dou,2002,101,8.0,75.0,124825,0.17,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.","Andrew Lau, Alan Mak","['Andy Lau, Tony Chiu-Wai Leung, Anthony Chau-Sang Wong, Eric Tsang']"
386,387,Big Fish,2003,125,8.0,58.0,440403,66.26,A frustrated son tries to determine the fact from fiction in his dying father's life.,Tim Burton,"['Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange']"
387,388,The Incredibles,2004,115,8.0,90.0,729903,261.44,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",Brad Bird,"['Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee']"
388,389,Yeopgijeogin geunyeo,2001,137,8.0,62.28,48314,75.62454999999994,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",Jae-young Kwak,"['Tae-Hyun Cha, Jun Ji-hyun, In-mun Kim, Song Wok-suk']"
389,390,Dogville,2003,178,8.0,60.0,148992,1.53,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",Lars von Trier,"['Nicole Kidman, Paul Bettany, Lauren Bacall, Harriet Andersson']"
390,391,Vizontele,2001,110,8.0,62.28,36793,75.62454999999994,"Lives of residents in a small, Anatolian village change when television is introduced to them.","Yilmaz Erdogan, Ömer Faruk Sorak","['Yilmaz Erdogan, Demet Akbag, Altan Erkekli, Cem Yilmaz']"
391,392,Donnie Darko,2001,113,8.0,88.0,796005,1.48,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Richard Kelly,"['Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne']"
392,393,Magnolia,1999,188,8.0,77.0,312181,22.46,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",Paul Thomas Anderson,"['Tom Cruise, Jason Robards, Julianne Moore, Philip Seymour Hoffman']"
393,394,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87,8.0,62.28,54530,75.62454999999994,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,"Hideaki Anno, Kazuya Tsurumaki","['Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Kotono Mitsuishi']"
394,395,The Straight Story,1999,112,8.0,86.0,90663,6.2,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,David Lynch,"['Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz, Joseph A. Carpenter']"
395,396,Pâfekuto burû,1997,81,8.0,67.0,75967,0.78,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",Satoshi Kon,"['Junko Iwao, Rica Matsumoto, Shinpachi Tsuji, Masaaki Ôkura']"
396,397,Central do Brasil,1998,110,8.0,80.0,39781,5.6,"The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew.",Walter Salles,"['Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra, Soia Lira']"
397,398,La leggenda del pianista sull'oceano,1998,169,8.0,58.0,64506,0.26,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",Giuseppe Tornatore,"['Tim Roth, Pruitt Taylor Vince, Mélanie Thierry, Bill Nunn']"
398,399,"Crna macka, beli macor",1998,127,8.0,73.0,53984,0.35,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,Emir Kusturica,"[""Bajram Severdzan, Srdjan 'Zika' Todorovic, Branka Katic, Florijan Ajdini""]"
399,400,Sling Blade,1996,135,8.0,84.0,94181,24.48,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Billy Bob Thornton,"['Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter']"
