,SerialNo,Movie Name,Year of release,Run time,Movie Rating,Metascore,Votes,Gross collection in millions,Description,Director,Star
187,188,Monty Python and the Holy Grail,1975,91,8.2,91.0,539045,1.23,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Terry Gilliam, Terry Jones","['Graham Chapman, John Cleese, Eric Idle, Terry Gilliam']"
188,189,Dersu Uzala,1975,142,8.2,62.28,29660,246.0,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,Akira Kurosawa,"['Maksim Munzuk, Yuriy Solomin, Mikhail Bychkov, Vladimir Khrulyov']"
189,190,Chinatown,1974,130,8.2,92.0,325373,8.49,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,"['Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez']"
190,191,Z,1969,127,8.2,86.0,28928,0.08,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,Costa-Gavras,"['Yves Montand, Irene Papas, Jean-Louis Trintignant, François Périer']"
191,192,Per qualche dollaro in più,1965,132,8.2,74.0,255863,15.0,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,Sergio Leone,"['Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mara Krupp']"
192,193,The Great Escape,1963,172,8.2,86.0,244055,12.1,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,John Sturges,"['Steve McQueen, James Garner, Richard Attenborough, Charles Bronson']"
193,194,Yôjinbô,1961,110,8.2,93.0,122844,144.0,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,"['Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai, Yôko Tsukasa']"
194,195,Some Like It Hot,1959,121,8.2,98.0,266371,25.0,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Billy Wilder,"['Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft']"
195,196,The Bridge on the River Kwai,1957,161,8.2,87.0,220240,44.91,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",David Lean,"['William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa']"
196,197,Dial M for Murder,1954,105,8.2,75.0,175461,0.01,A former tennis star arranges the murder of his adulterous wife.,Alfred Hitchcock,"['Ray Milland, Grace Kelly, Robert Cummings, John Williams']"
197,198,Tôkyô monogatari,1953,136,8.2,62.28,61709,206.0,"An old couple visit their children and grandchildren in the city, but receive little attention.",Yasujirô Ozu,"['Chishû Ryû, Chieko Higashiyama, Sô Yamamura, Setsuko Hara']"
198,199,Le salaire de la peur,1953,131,8.2,85.0,61239,191.0,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Henri-Georges Clouzot,"['Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli']"
